id,prompt
1,电影级航拍镜头，无人机缓缓掠过雾气弥漫的上海外滩，镜头从浦东陆家嘴三座摩天大楼的顶部俯冲而下，划过黄浦江面激起的细碎波光。清晨金色阳光穿透薄雾，江面上货船缓缓驶过留下白色尾迹。远处东方明珠塔在晨雾中若隐若现。大全景逐渐推进至中景。
2,纪实摄影风格，暴雨中的东京涩谷十字路口，数百行人撑着各色雨伞快步穿过斑马线。雨水在霓虹灯光下折射出五彩斑斓的光斑，地面积水映射出倒影。一辆红色出租车缓缓驶过路口，车轮溅起水花。镜头从高处俯拍慢慢下降至人群视角。全景渐变为中景。
3,电影质感长镜头，镜头沿着威尼斯狭窄水巷缓慢前推，一艘黑色贡多拉在碧绿水面上安静滑行。船夫身穿条纹衫站在船尾用力撑篙，船身微微摇晃。两侧古老砖墙上爬满常春藤，阳光从建筑缝隙间洒落形成光柱。水面波纹荡漾反射金色光芒。中景跟拍视角。
4,IMAX电影画面，暴风雪中的纽约时代广场，巨幅LED广告牌在漫天飞雪中闪烁。行人裹紧大衣低头快走，一个穿黄色雨衣的外卖员骑着自行车艰难穿行。积雪覆盖的街道上车辆缓慢移动，车灯在雪雾中形成光晕。镜头缓慢横摇捕捉全景。
5,电影级黄金时段光线，夕阳下的罗马斗兽场，金色余晖洒满古老石壁。一群鸽子从拱门间振翅飞出，在橙红色天空中盘旋。游客们在广场上漫步拍照，长长的影子拉在石板路面上。镜头从近景古墙纹理慢慢拉远至全景。温暖色调纪实电影风格。
6,赛博朋克电影风格，夜晚的香港庙街，密集的霓虹招牌层叠闪烁。蒸汽从街边大排档升腾而起，一个戴墨镜的年轻男子穿过人群走向镜头。地面湿漉漉反射出红蓝霓虹光，远处双层巴士缓缓驶过。镜头低角度仰拍慢慢后退。暗调高对比影像。
7,史诗级航拍，金色朝阳中的吴哥窟，镜头从丛林树冠上方缓缓推进至寺庙塔尖。晨雾在护城河上飘散，水面如镜倒映出完整的寺庙轮廓。几只白鹭从水面腾飞掠过画面。古老石塔在阳光中呈现温暖的琥珀色。大全景航拍逐渐降低高度推近。
8,纪实电影风格，清晨的伊斯坦布尔大巴扎，商贩们推着手推车忙碌地摆货开店。五彩缤纷的土耳其灯笼悬挂在拱形天花板下，光影斑驳。一只橘猫从香料摊位跳下，穿过走廊消失在转角。空气中仿佛弥漫着香料气息。镜头稳定器跟拍猫咪移动。中景。
9,电影级延时摄影质感，日落至夜晚的迪拜天际线，太阳从哈利法塔背后沉入沙漠。天空从金橙渐变为深蓝，城市灯光逐渐亮起如星河。高速公路上车流形成连续的光带蜿蜒穿城。远处棕榈岛轮廓在暮色中渐现。超广角固定机位拍摄全景。
10,黑白电影胶片质感，雨后的巴黎蒙马特高地，湿润的鹅卵石街道反射出微弱路灯光。一个撑伞的女人独自走上台阶，高跟鞋敲击石阶发出回声。远处圣心大教堂在薄雾中隐约可见。画面带有明显胶片颗粒感。镜头固定，人物由远及近走向镜头。
