id,prompt
101,电影级稳定器跟拍，凌晨的北京胡同里一位老人推着早餐摊车缓缓走过灰砖墙下。蒸笼冒出白色热气在冷空气中升腾消散。红色门联和石狮子在晨光中静默。远处一只花猫跳上屋顶瓦片沿屋脊行走。镜头从老人背后缓缓跟拍推进。中景纪实风格。
102,电影航拍长镜头，暴雨中的重庆洪崖洞夜景，层叠的吊脚楼亮起万家灯火如悬挂在崖壁的金色蜂巢。雨水沿屋檐倾泻而下形成水帘。嘉陵江面被雨点打出密集涟漪，游船灯光在水中拖出模糊倒影。镜头从江面缓缓升起仰拍整座建筑群。全景。
103,纪实电影风格，伦敦雾天清晨一辆红色双层巴士驶过威斯敏斯特桥。大本钟在浓雾中只露出模糊轮廓，桥面上行人裹紧大衣快步通过。泰晤士河面灰蒙蒙的水汽升腾。一群鸽子从桥栏杆上受惊飞起。镜头从桥头固定位置拍摄巴士由远及近驶来。
104,赛博朋克电影色调，深夜的首尔明洞商业街，巨型全息广告在建筑外墙上投射出流动的光影。一位穿荧光绿运动鞋的年轻人踩着滑板在湿滑地面上滑行穿过人群。地面积水反射出扭曲的霓虹色彩。镜头低角度从地面仰拍跟随滑板移动。
105,建筑电影风格，正午阳光下的巴塞罗那圣家堂内部，五彩玻璃窗将阳光分解成彩虹色光柱投射在白色石柱上。光斑随太阳移动在柱面上缓缓滑动。一群游客仰头缓步行走，影子在地面拉长。树状石柱向天花板分叉延伸。镜头从地面缓慢仰拍旋转上升。
106,纪实电影航拍，黎明时分的马丘比丘遗址从云海中浮现。第一缕阳光照亮山顶的石质建筑群，金色光线沿梯田逐级下移。几只羊驼在草坪上安静吃草抬头张望。远处安第斯山脉层峦叠嶂在晨雾中若隐若现。航拍镜头从云层穿出推向遗址。
107,黑色电影风格，深夜的芝加哥高架铁路下一列地铁轰鸣驶过。铁轨上溅出的火花照亮了潮湿的柏油路面。一个撑伞的男人站在路灯下等待，烟头明灭闪烁。列车车窗内的灯光在地面画出快速移动的光条。镜头从街对面固定拍摄。中景高对比画面。
108,电影级黄金时段航拍，夕阳下的布拉格查理大桥上游客和街头艺人熙来攘往。桥上三十座黑色圣人雕像在金色光线中投下长影。伏尔塔瓦河在桥下缓缓流淌反射天光。一位小提琴手站在桥栏边演奏，琴弓上下挥动。航拍缓缓下降推近至桥面。
109,纪实电影风格，孟买季风雨季街头，暴雨中的火车站外数百人在齐膝深的积水中艰难前行。彩色莎丽在雨中湿透贴身，一位母亲将孩子举过头顶涉水。黄色出租车在水中缓慢蠕动溅起水花。灰暗天光下一切都被雨水模糊。镜头正面固定拍摄人流。
110,史诗电影航拍，金色朝阳中的缅甸蒲甘平原，数千座佛塔尖顶从晨雾中刺出。一只热气球缓缓升空掠过塔尖，投下圆形阴影。远处伊洛瓦底江在雾中闪烁如银带。牛车在红土路上缓行扬起薄尘。航拍镜头从热气球视角俯瞰全景缓慢旋转。
