id,prompt
1,"First-person VR fantasy RPG scene. The player holds a glowing blue staff while walking through a dark dungeon corridor. The staff's light illuminates damp stone walls and skeletal remains on the floor. A monster's low growl echoes from around the corner ahead as the player turns to check flickering torches on the left wall. The head-mounted perspective sways gently to simulate walking rhythm. Unreal Engine 5 photorealistic style."
2,"VR open-world fantasy game. The player rides atop a giant red dragon, looking down at medieval castles and burning villages below. Dragon wings flap up and down on both sides of the view as the player looks down to see their armored gauntlets gripping the dragon scales. Heat haze rises from the dragon's breath of fire, distorting the view. The head tilts with the dragon's banking. AAA photorealistic rendering."
3,"First-person VR dungeon crawl game. The player pushes open a heavy iron door to enter a treasure chamber. Gold coins and gems fill the entire room, glittering under torchlight. The player reaches out with their right hand to pick up a ruby-encrusted dagger, examining and rotating it closely. Suddenly footsteps sound from behind and the player whips around one hundred eighty degrees to face the dark entrance. Photorealistic PBR material rendering."
4,"VR fantasy adventure game scene. The player stands at the edge of a floating island, gazing down at other sky islands amid a sea of clouds below. In the distance, a massive crystal tower emits a purple beam of light shooting into the sky. The player turns to survey the surroundings, seeing rainbow bridges connecting the islands. A phoenix soars up through the cloud layer and sweeps over the player's head. The view tilts slightly upward to track the phoenix in flight. Stylized cartoon rendering."
5,"First-person VR Souls-like game. The player raises a cracked shield to block a heavy strike from a giant gargoyle. On impact the shield shudders, the view shakes violently, and sparks fly. The player dodge-rolls to the side with a rapid camera spin, then swings a greatsword at the monster's legs. Blood mist and rubble spray outward. The head-mounted perspective lurches with each combat move. Photorealistic dark gothic style."
6,"VR elven archery game. The player grips a bow in the left hand and draws a light arrow from the quiver on their back with the right hand, nocking it on the bowstring. At full draw the arrowhead glows gold, illuminating the orc army ahead. After releasing the arrow the view tracks its flight path as it strikes the distant orc commander. The player quickly turns to spot enemies charging from the right flank. Stylized realistic fantasy rendering."
7,"First-person VR alchemy game. The player stands in a medieval alchemist's workshop. Both hands drop glowing herbs into a crucible billowing green steam and stir. The liquid changes color from green to gold, emitting sparks. The player looks up at the recipe bookshelf then down to check the crucible temperature. Bottles and jars crowd the wooden table, colorful liquids flowing inside glass vials. Warm candlelit atmosphere."
8,"VR open-world RPG game. The player gallops on horseback along a muddy mountain trail in a thunderstorm. Raindrops strike the helmet visor in front of the view, blurring visibility. Lightning illuminates the silhouette of a distant castle. Hooves splash mud as the player's body bobs up and down with the horse. Turning back reveals the torches of pursuing riders flickering through the rain. The head-mounted view shakes intensely. Photorealistic medieval style."
9,"First-person VR underwater fantasy exploration game. The player wears a magical diving suit and swims through seabed ruins. A magic lantern lights coral-encrusted pillars of an ancient temple. A massive sea serpent peeks out from behind a pillar and the player instinctively leans back, the view jerking upward. Bubbles rise from the edges of the view. In the distance, blue magical light streams from a fissure in the ocean floor. Stylized watercolor rendering."
10,"VR wizard duel game. The player holds both hands open, each conjuring a magic circle. The left hand fires ice spikes while the right casts fireballs, alternately attacking the dark mage ahead. The enemy's purple lightning streaks past the player's right side as the view sharply dodges. Shockwaves from colliding spells ripple the edges of the screen. The player spins around to deal with a skeleton soldier flanking from behind. Heavy magical particle effects."
