id,prompt
1,"Cinematic aerial shot, a drone gliding slowly over the fog-shrouded Shanghai Bund, camera diving down from the tops of the three Lujiazui skyscrapers in Pudong, sweeping across the shimmering ripples on the Huangpu River. Golden morning sunlight pierces through thin mist, cargo ships drift slowly across the river leaving white wakes. The Oriental Pearl Tower fades in and out of the morning haze in the distance. Extreme wide shot gradually pushing in to medium shot."
2,"Documentary photography style, Tokyo's Shibuya Crossing in a torrential downpour, hundreds of pedestrians with colorful umbrellas hurrying across the crosswalk. Rainwater refracts into kaleidoscopic light spots under the neon glow, puddles on the ground casting reflections. A red taxi glides slowly through the intersection, wheels splashing water. Camera descends from a high overhead angle down to crowd level. Wide shot transitioning to medium shot."
3,"Cinematic long take, camera slowly pushing forward along a narrow Venice canal, a black gondola gliding silently across the emerald water. The gondolier in a striped shirt stands at the stern pushing the oar with force, the boat gently swaying. Ancient brick walls on both sides are covered in ivy, sunlight streaming through gaps between buildings forming shafts of light. Water ripples shimmer with golden reflections. Medium shot tracking angle."
4,"IMAX cinematic frame, New York's Times Square in a blizzard, massive LED billboards flickering through swirling snow. Pedestrians bundled in coats hurry along heads down, a delivery rider in a yellow raincoat struggles through on a bicycle. Vehicles inch along snow-covered streets, headlights forming halos in the snowy haze. Camera slowly pans to capture the full panorama."
5,"Cinematic golden hour lighting, the Roman Colosseum at sunset, golden rays washing over the ancient stone walls. A flock of pigeons bursts through the arches, circling in the orange-red sky. Tourists stroll and photograph in the square, their long shadows stretching across the cobblestones. Camera pulls back slowly from close-up wall textures to a wide shot. Warm-toned documentary film style."
6,"Cyberpunk film style, Hong Kong's Temple Street at night, densely packed neon signs stacked and flickering. Steam rises from street-side food stalls, a young man in sunglasses cuts through the crowd toward the camera. The wet ground reflects red and blue neon light, a double-decker bus drifts past in the background. Low-angle upward shot slowly pulling back. Dark, high-contrast imagery."
7,"Epic aerial shot, Angkor Wat bathed in golden dawn, camera slowly pushing forward from above the jungle canopy toward the temple spires. Morning mist drifts across the moat, the water surface mirroring the complete temple silhouette like glass. Several white egrets take flight from the water, sweeping across the frame. The ancient stone towers glow warm amber in the sunlight. Extreme wide aerial shot gradually descending and pushing closer."
8,"Documentary film style, early morning at Istanbul's Grand Bazaar, vendors pushing carts busily stocking and opening their stalls. Colorful Turkish lanterns hang beneath arched ceilings, casting dappled light and shadow. A ginger cat leaps from a spice stall, darting through the corridor and vanishing around a corner. The air seems thick with the scent of spices. Stabilizer tracking shot following the cat's movement. Medium shot."
9,"Cinematic time-lapse quality, Dubai skyline from sunset to nightfall, the sun sinking behind the Burj Khalifa into the desert. The sky gradients from gold-orange to deep blue as city lights gradually ignite like a river of stars. Highway traffic forms continuous ribbons of light winding through the city. The Palm Islands silhouette emerges in the dusk in the distance. Ultra-wide fixed camera capturing the full panorama."
10,"Black-and-white film grain aesthetic, Montmartre in Paris after rain, wet cobblestone streets reflecting the faint glow of streetlamps. A woman with an umbrella walks alone up the stairs, her high heels echoing against the stone steps. Sacré-Cœur Basilica is faintly visible through thin mist in the distance. The image has a pronounced film grain texture. Static camera, the figure approaches from afar toward the lens."
11,"National Geographic documentary style, African savanna at golden hour, a male lion shakes his mane and strides leisurely through golden grass. His muscles are sharply defined, amber eyes gazing forward, each step carrying effortless power. In the background stands a solitary acacia tree silhouette, sunset painting the sky deep orange. Lateral tracking shot panning alongside. Medium close-up."
12,"Underwater documentary footage, a humpback whale and her calf slowly ascending through the deep blue sea. The mother whale's massive pectoral fins gently sweep through the water as the calf swims closely beside her. Sunlight penetrates from the surface forming columns of light, bubbles rising slowly from the whales' mouths. Schools of small fish scatter in all directions. Camera slowly orbits from the side. Medium shot."
13,"BBC nature documentary quality, the Amazon rainforest before a thunderstorm, a brilliantly colored macaw launches into flight from the treetops. Red, blue, and yellow plumage vivid against the overcast sky, wings beating powerfully through the air. Raindrops begin to fall, striking the enormous tropical leaves. Lightning illuminates gray clouds in the distance. Slow-motion tracking shot following the macaw in flight."
14,"High-speed cinematic footage, a cheetah in full sprint across the African savanna chasing an antelope. The cheetah's body fully extended, all four limbs airborne, spotted coat glistening in the sunlight. Grass and dust kicked up by its legs billow around it. Background blurred to emphasize speed, the horizon slightly tilted. Ultra slow-motion lateral tracking shot. Close-up."
15,"Documentary photography style, a fall morning at Nara Park in Japan, a herd of sika deer grazing leisurely on grass blanketed in red leaves. A young fawn lifts its head toward the camera, ears perked, nose twitching gently. The background is a soft blur of ancient temple red pillars and golden ginkgo trees. Fallen leaves drift down gently in the breeze. Soft rim lighting outlines the deer's silhouette. Medium shot with shallow depth of field."
16,"Cinematic macro photography, a hummingbird hovering before a blooming red hibiscus, wings vibrating at high frequency creating translucent motion blur. Its slender beak probes deep into the flower to sip nectar, tiny body maintaining perfect balance in midair. Dewdrops on the petals sparkle like diamonds in the morning light. Background completely blurred to soft green. Ultra slow-motion close-up."
17,"Nature documentary aerial shot, hundreds of Atlantic puffins standing at the edge of an Icelandic black sand beach cliff. One puffin opens its colorful beak and spreads its wings, leaping into the sea wind and diving down along the cliff face. Gray waves crash and shatter into white foam on the rocks below. Overcast diffused light evenly illuminating the scene. Camera follows the puffin's dive from the clifftop wide shot down to sea level."
18,"Cinematic nighttime footage, an Arctic fox treading carefully through snow under moonlight on the polar tundra. Its white fur blends almost completely with the snow, only its black eyes and nose tip clearly visible. The Northern Lights dance overhead, green curtains of light reflecting off the snow's surface. The fox suddenly pauses, ears pricked to listen, then leaps headfirst into the snow to hunt. Medium side shot."
19,"Documentary-style underwater footage, a large sea turtle gliding slowly through colorful coral formations in the shallow reef. The turtle's front flippers sweep gracefully like wings, a few wisps of algae clinging to its shell. Schools of tropical fish dart and weave around it, sunlight piercing the clear water creating dancing light patterns. Camera tracks parallel alongside the turtle, slowly pushing forward. Medium shot."
20,"Cinematic high-speed photography, a bald eagle diving from high altitude toward a lake surface to catch fish. Talons spread wide at the instant of contact, sending up a massive splash, successfully snatching a silver trout. Wings beat powerfully as it lifts off with its prey, water droplets shaking from its feathers like scattered silver. Background is a soft blur of blue mountains. Ultra slow-motion low-angle upward shot."
21,"Cinematic portrait photography, a rainy Tokyo street at night, a young East Asian woman in a black trench coat glances back at the camera beneath a clear umbrella. Her damp black hair clings to her cheeks, gaze steady with a hint of melancholy. Neon lights cast interlaced red and blue reflections across her face. Raindrops bounce on the umbrella surface, car headlights form soft bokeh in the background. Close-up half-body portrait."
22,"Documentary film style, the Paris flower market at dawn, an elderly white-haired woman bending to arrange bundles of purple lavender. She wears a dark blue apron, her wrinkled fingers deftly binding the bouquets. Soft morning light streams down through the iron-frame canopy, rows of flowers forming a colorful backdrop around her. Camera slowly pulls back from a hand close-up to medium shot."
23,"Sports film shooting style, a young Black male surfer riding a massive wave at a California beach at dusk. He wears a black wetsuit, legs bent to maintain balance, spray churning and splashing behind him. Golden sunset backlights the wave crests, creating translucent amber tones. Underwater camera shooting from a low upward angle. Slow-motion medium shot."
24,"Cinematic humanitarian photography, a narrow alley in the old city of Marrakech, Morocco, an elderly Arab man in a white robe leading a donkey laden with colorful fabrics through the passage. Mottled ochre mud walls cast deep shadows on both sides, a shaft of intense sunlight piercing through a distant archway. The man walks slowly and steadily. Camera fixed head-on as the figure approaches from the distance."
25,"Japanese cinema style, Kyoto's Philosopher's Path in full cherry blossom, a young Japanese woman in a pale pink kimono strolling along the petal-strewn path. She holds a paper parasol with a slight downward gaze, wooden geta clogs tapping gently on the stone walkway. Cherry blossom petals drift in the breeze like pink snowflakes. A small stream murmurs alongside the path. Lateral tracking shot panning alongside. Soft backlit medium shot."
26,"War film aesthetic, a firefighter carrying a hose charges through a smoke-filled rubble-strewn street. He wears a black helmet, face beneath the visor drenched in sweat and coated in ash, reflective strips flashing in the firelight. Behind him, collapsed buildings and billowing thick smoke, sparks flying. Handheld tracking shot with slight shake for immediacy. Close-up tracking the running action."
