id,prompt
1,"Autonomous driving front-facing camera footage, slowly driving on the elevated highway near Lujiazui, Pudong, Shanghai on a rainy night. Windshield wipers periodically sweep across the bottom of the frame leaving water streaks. A red bus ahead brakes with its tail lights on, splashing water. Standing water on the road reflects neon lights from skyscrapers on both sides, forming blurred colorful streaks. Lane markings reflect off the wet road surface. Raw sensor output image quality with water droplets on the lens."
2,"Dashcam real footage, driving on Beijing's Fourth Ring Road in dense morning fog. Visibility is under fifty meters; the taillights of the vehicle ahead dissolve into blurry red halos in the fog. A street-sweeping water truck suddenly merges from the right lane into ours, spraying water mist onto the windshield and momentarily blocking the view. Concrete lane dividers on both sides of the road fade in and out of the fog. The footage has typical dashcam fisheye distortion and a timestamp watermark."
3,"Autonomous driving perception camera perspective, driving on Sheikh Zayed Road in Dubai under the blazing midday sun. Heat waves shimmer off the road ahead creating a mirage effect where distant vehicles appear to float on water. A camel suddenly darts onto the road from the desert side, causing emergency braking in the right lane. The white road surface glares intensely with slight overexposure. Palm trees on both sides cast sharp shadows. The footage has strong sun glare and sensor overexposure areas."
4,"Vehicle-mounted camera nighttime footage, driving through consecutive curves on Tokyo's Shuto Expressway C1 Inner Loop. A white GT-R ahead traces a red arc with its taillights through the curves. Reflective markers on the concrete barriers on both sides streak past at high speed. The banked road surface causes the frame to tilt slightly. Tokyo Tower's red lights flash briefly between buildings in the distance. Nighttime image quality shows noticeable noise and motion blur."
5,"Dashcam real footage of a torrential downpour, driving on Guangzhou's Inner Ring Road during a sudden cloudburst. Rain is so heavy that the wipers at maximum speed still cannot fully clear the curtain of water on the windshield. A food delivery e-bike ahead skids and wobbles in the standing water, nearly tipping over. Road flooding has risen past the wheel hubs, throwing up huge splashes. Traffic signals behind the rain curtain blur into red and green blobs of light. Raw image quality with water droplets clinging to the lens."
6,"Autonomous driving front-facing camera, descending a steep hill street in San Francisco. The frame shows an extreme downward tilt as the road ahead plunges like a cliff. A cable car slowly crosses at an intersection from the right. Cars parked along the curb are angled with their wheels turned into the slope. The Bay Bridge and fog-shrouded Angel Island are visible in the distance. Noticeable fisheye distortion at the lens edges. Overcast with flat, even lighting."
7,"Vehicle-mounted dashcam footage, late at night on the Moscow Ring Road (MKAD). Thin ice on the road surface reflects light as a large truck ahead suddenly changes lanes, triggering emergency braking and ABS activation. Dirty slush and ice chips flung from the truck hit the windshield, briefly blocking the view. Dim yellowish streetlights illuminate the snow-covered road shoulders. An MKAD highway sign reflects in the headlights in the distance. Cold temperatures give the footage a cool color cast with noticeable noise."
8,"Autonomous driving camera daytime footage, navigating a narrow old-town street in Mumbai during peak traffic. A decorated cow lies leisurely in the middle of the road, blocking two lanes and refusing to move. Auto-rickshaws and motorcycles squeeze through the gaps on both sides of the cow. Roadside vendors' handcarts encroach on the driving space. Pedestrians weave through traffic effortlessly. The frame is crowded and chaotic, brimming with the vivid energy of Indian street life."
9,"Dashcam dusk footage, severe congestion on the Los Angeles 405 freeway. Red taillights ahead form an endless ribbon of red stretching to the horizon. The setting sun faces the lens directly, producing intense glare and halos. A Tesla in the right lane activates its turn signal trying to cut in. The Hollywood Hills appear in silhouette against the orange sky in the distance. The image is mostly static, inching forward a few meters occasionally."
10,"Vehicle-mounted camera snowy night footage, driving near Zhongyang Street (Central Avenue) in Harbin. Heavy snow falls as snowflakes lit by the headlights rush toward the lens like a dense barrage of white particles. A taxi ahead slides slowly on the icy surface with its rear end fishtailing slightly. European-style buildings on both sides are blanketed in thick snow with warm yellow light glowing from windows. Pedestrians bundled up head-to-toe lean into the wind. Snowflakes accumulate on the lens progressively."
