id,prompt
1,"Fisheye camera view from the end of an industrial robotic arm in an automotive final assembly welding station. The robotic arm is aligning the welding torch to the weld spot on a white body side panel. Orange sparks scatter in all directions at the moment of welding, illuminating the surrounding steel plate surfaces. The edge of the sixth-axis flange and orange cables are visible in the field of view. The background shows a blurred production line and other robotic arms at work. The sensor is partially overexposed due to welding light interference."
2,"Wide-angle camera view from the wrist of a six-axis industrial robot in an automotive paint shop. The robotic arm is applying clear coat to the hood of a red sedan. The atomized paint from the spray gun forms a fan-shaped, semi-transparent mist curtain under the lights. The freshly sprayed wet paint on the car body reflects the white fluorescent tubes of the shop. The spray applicator and tubing at the end of the robotic arm are visible at the bottom of the frame. The image has a hazy quality from the paint mist."
3,"End-effector sensor view of a welding robot performing spot welding on an automotive chassis. At the center of the frame, the welding tongs clamp two layers of steel plate at the moment of contact. The copper electrode tips deform slightly under pressure. Surrounding completed weld spots are neatly arranged like rivets. The stamping texture and locating holes on the underbody panel are clearly visible. In the background, another robot is working on the opposite side of the same workpiece. Industrial cool-white LED lighting."
4,"Wide-angle wrist camera view of a robotic arm at a windshield installation station on an automotive assembly line. A vacuum-cup end effector is picking up a complete front windshield. The glass surface reflects the ceiling lights and ductwork of the shop. The robotic arm precisely aligns the glass with the window frame opening of the white car body. The black sealant bead just applied by the gluing robot on the window frame is clearly visible. A precision alignment scene."
5,"End-effector sensor view of a gluing robot performing door sealant application on an automobile. The adhesive nozzle is dispensing black PVC sealant along the door edge trajectory at a constant speed. The sealant bead has a uniform width with a triangular cross-section. The already-applied sealant extends behind the field of view forming a complete sealing path. The stamping oil film on the metal door panel surface reflects faintly under the lighting. Close-range industrial macro image quality."
6,"Shoulder-mounted wide-angle camera view of a material-handling robot in an automotive stamping shop. A massive six-axis robot is extracting a freshly stamped body side panel from a thousand-ton press. The steel sheet still carries residual heat from the stamping die, with faint steam rising from its surface. The robot's suction cup array firmly grips the large steel panel. In the distance, the enormous flywheel of the press is decelerating. The image has slight blur from industrial vibration."
7,"Structured-light sensor view from the end of a robotic arm performing inline inspection in an automotive body-in-white shop. A projected blue laser line scans the surface of a body weld seam. The structured light bends at the weld bead protrusion, clearly revealing the weld seam profile. Blue laser stripes mapped onto the gray steel plate are visible in the frame. In the distance, another inspection sensor at the same station scans the roof joint. Bright blue laser stripes dominate the image."
8,"Fisheye wrist camera of an assembly robot performing cylinder head bolt tightening on an automobile engine. At the center of the frame, an electric torque gun is aimed at a bolt hole on the aluminum alloy cylinder head. The gun tip rotates and drives the bolt in at high speed. The casting texture and machined surfaces of the cylinder head are clearly visible at close range. Coolant lines and wire harnesses are densely arranged inside the engine bay. Industrial lighting from multiple angles eliminates shadows. Pronounced wide-angle distortion."
9,"Visual sensor at the end of a spot welding robot during multi-layer sheet welding on an automotive body-in-white. Two copper-colored welding electrodes clamp three layers of steel from top and bottom. Fine sparks fly from between the electrodes at the moment of current flow. The galvanized layer around the weld spot discolors to a golden-yellow ring from the high temperature. The gray cast-aluminum housing of the robot's fifth-axis joint is visible at the edge of the frame. The image momentarily overexposes from the welding flash then returns to normal."
10,"Shoulder-mounted camera of a palletizing robot in an automotive parts logistics area. The robot is picking plastic tote bins from a conveyor and stacking them onto a pallet. Pneumatic grippers open and close to grasp the bin edges. Three neatly stacked layers of bins are visible in the frame. In the distance, an AGV follows magnetic guide strips on the floor, autonomously transporting materials. Tall warehouse shelving extends into the background."
11,"Wrist sensor view of a painting robot spraying an automotive bumper. A black plastic bumper is mounted on a rotating fixture. The robot spray gun is applying metallic silver primer. Atomized paint particles form a uniform fan pattern in the airflow. The sprayed area displays a wet, silver metallic luster contrasting with the unsprayed black plastic. The exhaust system operates continuously, drawing paint mist downward."
12,"Visual guidance camera at the end of a robotic arm performing automotive wire harness connector insertion. The precision gripper at the robot's end effector holds a white electrical connector, aligning it with a socket behind the instrument panel. Densely bundled, neatly tied colored wire harnesses surround the socket. A green alignment crosshair overlay from the vision system is clearly visible in the frame. A faint click sounds as the locking tab engages upon full insertion. A close-range macro image with very shallow depth of field."
13,"End-effector sensor view of a deburring robot performing post-processing on an aluminum alloy wheel hub. A high-speed rotating brush removes machining burrs along the spoke edges. Aluminum shavings scatter from the contact point like silver powder. The machining tool marks on the wheel surface are clearly visible under side lighting. Coolant sprays from a nozzle to rinse the machined surface. The robotic arm flange and torque sensor housing are visible at the bottom of the frame."
14,"Sensor view of a seal inspection robot at a vehicle door water-tightness test station. The robot holds a water spray gun and jets high-pressure water along the door perimeter according to a programmed path. Water splashes into mist as it hits the door weatherstrip. Water streams on the door glass reflect striped light patterns. An infrared thermal camera at the adjacent station inspecting weld quality is visible at the frame's edge. The water mist gives the overall image a damp, hazy quality."
15,"Fisheye vision from the end of an assembly robot at a vehicle seat installation station. The robotic arm holds a dark gray leather seat, aligning it with the four mounting bolt holes on the vehicle floor pan. The seat's metal bracket and slide rails are visible at the bottom of the frame. The interior is mostly installed, with the dashboard and steering wheel visible in the distance. Another robot simultaneously installs the passenger seat on the opposite side. The fisheye wide-angle distortion curves the interior space."
16,"High-magnification macro camera view from the end of a pick-and-place robotic arm on an SMT production line. A vacuum nozzle is picking up a 0.4mm micro-resistor from a component reel. The component is barely visible at the nozzle tip. The green solder mask and silver pads of the PCB wait below. The component outline identified by the vision system is overlaid on the image. Extremely shallow depth of field with only the nozzle tip in focus."
17,"End-effector camera view of a SCARA robot on an electronics assembly line. The robotic arm is inserting a flexible flat cable into a ZIF connector on a smartphone motherboard. Precision grippers hold the FPC ribbon cable with gold contacts, aligning it with the white flip-top connector socket. Densely packed chips and capacitors on the PCB fill the background. A yellow grounding wire from an ESD wrist strap hangs from the robotic arm. Extreme close-up macro image quality."
18,"Sensor view of a wafer-handling robotic arm in a semiconductor cleanroom. The robot's vacuum fork is extracting a 300mm silicon wafer from a FOUP wafer cassette. The wafer surface reflects the yellow filtered lights of the cleanroom ceiling, producing rainbow-like interference colors. The surrounding environment shows the Class 10,000 cleanroom white walls and HEPA filter units. An operator in a white cleanroom suit monitors from a distance."
19,"AOI optical inspection robotic arm camera view during automatic optical inspection of a PCB. A high-resolution industrial camera scans the circuit board surface. Solder ball morphology on the solder joints is clearly visible—some are perfectly spherical while others exhibit bridging defects. A red LED ring light illuminates the solder joint surfaces from multiple angles. Red bounding boxes from the detection algorithm flash over suspected defects. A high-magnification macro image."
