id,prompt
101,"Cinematic stabilizer tracking shot, an elderly man pushes a breakfast cart slowly past gray brick walls in a Beijing hutong at dawn. White steam rises from bamboo steamers and dissipates in the cold air. Red door couplets and stone lions stand silent in the morning light. In the distance, a calico cat leaps onto rooftop tiles and walks along the ridge. Camera slowly tracks forward from behind the old man. Medium shot documentary style."
102,"Cinematic aerial long take, nighttime view of Chongqing's Hongya Cave in heavy rain, tiered stilted buildings lit up with myriad lights like a golden honeycomb hanging from the cliff face. Rainwater cascades from eaves forming curtains of water. Dense ripples pock the Jialing River surface as boat lights trail blurred reflections in the water. Camera slowly rises from the river surface tilting up toward the entire building complex. Wide shot."
103,"Documentary cinema style, a red double-decker bus crosses Westminster Bridge on a foggy London morning. Big Ben reveals only a hazy silhouette in the thick fog as pedestrians on the bridge hurry past bundled in coats. Gray mist rises from the Thames. A flock of pigeons startles from the bridge railing into flight. Camera fixed at the bridgehead captures the bus approaching from afar."
104,"Cyberpunk cinema palette, late night on Seoul's Myeongdong commercial street, giant holographic advertisements project flowing light and shadow onto building facades. A young person wearing fluorescent green sneakers glides on a skateboard across the slick ground through the crowd. Puddles on the ground reflect distorted neon colors. Camera low-angle from ground level tilts up following the skateboard."
105,"Architectural cinema style, interior of Barcelona's Sagrada Família under midday sun, stained glass windows decompose sunlight into rainbow-colored light columns projected onto white stone pillars. Light patches slowly glide across pillar surfaces as the sun moves. A group of tourists walks slowly with heads tilted back, their shadows stretching long on the floor. Tree-like stone columns branch upward toward the ceiling. Camera slowly tilts up from ground level with a rotating ascent."
106,"Documentary aerial cinema, the ruins of Machu Picchu emerge from a sea of clouds at dawn. The first rays of sunlight illuminate the hilltop stone structures as golden light cascades down the terraces level by level. Several llamas graze quietly on the lawn, looking up. In the distance, the layered Andes mountain range fades in and out of morning mist. Aerial camera breaks through the cloud layer pushing toward the ruins."
107,"Film noir style, a subway train roars past beneath Chicago's elevated railway late at night. Sparks from the tracks illuminate the wet asphalt road surface. A man with an umbrella stands under a streetlight waiting, the glowing tip of his cigarette flickering. Light from the train windows traces rapidly moving strips across the ground. Camera fixed from across the street. Medium shot high-contrast frame."
108,"Cinematic golden hour aerial, tourists and street performers bustle on Prague's Charles Bridge at sunset. Thirty black saint statues on the bridge cast long shadows in the golden light. The Vltava River flows gently beneath the bridge reflecting the sky. A violinist plays by the bridge railing, bow moving up and down. Aerial camera slowly descends and pushes in to bridge level."
109,"Documentary cinema style, Mumbai monsoon season street, hundreds of people wade through knee-deep floodwater outside the train station in a downpour. Colorful saris cling wet to bodies in the rain as a mother holds her child above her head wading through water. Yellow taxis crawl slowly through the water splashing. Everything blurs under the dim gray light. Camera fixed head-on capturing the flow of people."
110,"Epic cinematic aerial, thousands of pagoda spires pierce through morning mist on Myanmar's Bagan plain in golden sunrise. A hot air balloon slowly ascends past the spire tips, casting a circular shadow. In the distance, the Irrawaddy River glimmers like a silver ribbon in the mist. An ox cart moves slowly along a red dirt road raising thin dust. Aerial camera from the balloon's perspective pans slowly in a wide rotating shot."
111,"Urban cinema nightscape, after the rain in downtown Los Angeles, the Angels Flight funicular slowly ascends along steep tracks. The orange car reflects streetlight on the wet rails. Palm trees on either side sway gently in the night breeze. Distant skyscraper clusters blaze with lights. A young couple in the car window smiles at each other. Camera tilts up from the base of the tracks as the funicular rises."
112,"Cinematic time-lapse aerial, Singapore's Gardens by the Bay Supertrees from day to night. The artificial trees' lights gradually illuminate as the sun sets, transforming from silver metal to glowing purple-blue structures. Tourists stroll slowly on the skyway like ants. The Marina Bay Sands lights up in the background at dusk. Clouds race across the sky. Ultra-wide-angle time-lapse panorama."
113,"Ancient city cinema style, worshippers pray with heads bowed at Jerusalem's Western Wall at dusk, bodies gently swaying back and forth. The late western sun dyes the massive stone wall honey-gold as notes fill the crevices between stones. A group of black-clad Orthodox Jews hurries across the plaza. Pigeons land and take off from the wall top. Camera slowly pans from one corner of the plaza capturing the prayer scene. Medium shot humanistic documentary."
114,"Industrial cinema style, a giant gantry crane loads and unloads containers at the Port of Rotterdam at night. Multi-ton colorful containers are lifted by the crane arm and slowly moved over the cargo ship then lowered. Port searchlights illuminate the busy wharf. A container truck weaves between stacks flashing yellow warning lights. Camera from high on the crane arm looking down on the entire loading process. Night panorama."
115,"Documentary aerial cinema style, a pink 1957 Chevrolet convertible races along the Havana Malecón seafront boulevard at dawn. Waves leap over the seawall splashing onto the road. Colorful colonial buildings flash past in the background. The driver wears sunglasses steering one-handed with a smile. Aerial side tracking shot at low altitude following the car. Golden morning light medium shot."
116,"Wildlife documentary style, a brown bear stands in the rapids of an Alaskan river with mouth open waiting. A silver salmon leaps from the water and lands right into the bear's mouth. Water splashes soak the bear's thick fur. Several other salmon leap through white water swimming upstream. Dark green coniferous forest lines both banks. Slow-motion side medium shot capturing the fish-catching moment."
117,"Nature documentary macro shot, a chameleon moves slowly along a tropical rainforest branch. Its eyes rotate independently scanning the surroundings as its skin gradually shifts from green to brown to match the environment. Its long tongue suddenly lashes out at lightning speed striking a flying insect and retracting into its mouth. Clawed feet grip the branch firmly stepping forward. Background blurred to tropical green. Ultra slow-motion close-up."
118,"Aerial nature documentary, tens of thousands of wildebeest cross the Mara River during the Great Migration in East Africa. A brown torrent of animals surges into the turbid river water desperately swimming toward the far bank. Heads packed densely across the river surface undulate like waves. Enormous dust clouds rise from the bank. A crocodile lurks in the water suddenly launching an attack. Aerial from high above gradually descending and pushing in to river level."
119,"Cinematic night photography, a lone gray wolf howls at the sky on moonlit snow. The wolf's gray-white fur shimmers silver in the moonlight. Hot breath jets from its open mouth forming white mist in the cold air. Behind stretches an endless snowy plain with sparse birch trees. A full moon hangs large and round above the treetops. Camera from side low angle tilting up. Medium shot silhouette effect."
120,"Underwater documentary style, a school of hammerhead sharks swims in formation in the deep blue waters off the Galápagos Islands. Dozens of sharks arranged in a neat diamond formation, hammer-shaped heads swaying side to side cutting through the current. Sunlight penetrates from the surface creating rippling light patterns on the sharks' gray skin. Camera slowly tilts up from beneath the school. Grand medium shot."
121,"Nature documentary slow motion, a kingfisher dives from a branch into a stream to catch fish. Blue and orange feathers glitter like jewels as it enters the water splashing transparent droplets. It emerges with a small fish in its beak shaking water from its body, droplets scattering from its wings in sunlight like shattered diamonds. The entire sequence takes less than two seconds. Ultra slow-motion side macro shot."
122,"BBC documentary quality, a group of emperor penguins huddles tightly together for warmth in an Antarctic blizzard. Outer-circle penguins bow their heads against biting wind while inner-circle penguins reveal fluffy gray chicks peeking from the top. Wind and snow form a white curtain behind them. The colony slowly shifts as a whole, rotating positions to alternate inner and outer circles. Camera fixed head-on. Medium shot."
123,"Nature photography cinema style, at dusk an elephant family drinks and plays at an African watering hole. A baby elephant sucks water with its trunk and sprays companions playfully. A mother elephant scoops mud with her trunk and smears it on herself to cool down. The sunset dyes the water surface golden red as elephant reflections sway in the water. Flocks of flamingos stand on the distant shallows. Aerial slowly descends to water level."
124,"Tropical rainforest documentary, a red orangutan swings through the canopy on vines in a Borneo rainforest. Its long red arms powerfully grasp vines and swing to the next tree. Leaves shake loose and flutter down. An infant clings tightly to the mother's waist swinging along. Sunlight pierces through gaps in the canopy creating alternating patterns of light and shadow. Camera tilts up from below tracking the movement."
125,"Macro documentary cinema style, a spider repairs a hole in its morning dew-covered web. Delicate silk threads droop slightly under the weight of dewdrops like pearl necklaces. The spider's eight legs move nimbly across the web lines as its spinneret continuously releases new silk. Morning light from behind illuminates the entire web glowing like a diamond grid. Macro close-up fixed shot. Soft backlight."
126,"Nature cinema night shoot, in Madagascar's rainforest an aye-aye taps a tree trunk with its elongated middle finger to detect grub holes. Its enormous eyes reflect orange under night-vision lighting, bushy tail raised high. Tapping sounds echo in the silent forest. Finding a grub hole, it rapidly inserts its finger to extract a larva and brings it to its mouth. Infrared camera close-up side shot."
127,"Marine documentary cinema style, a giant octopus extends eight tentacles to explore and advance through rock crevices. Suckers attach and release sequentially on the rock surface as if walking. Its skin color and texture instantly change with the environment from reddish-brown to rock-like gray. A small fish swims past and the octopus suddenly shoots out one tentacle wrapping and capturing it in a flash. Underwater close-up tracking shot."
128,"High-speed photography documentary, a dragonfly hovers over a pond surface dipping to lay eggs. Transparent wings beating thirty times per second are clearly visible in slow motion with each stroke. The tip of its abdomen lightly touches the water surface creating tiny ripples. Sunlight through the thin wings reveals rainbow-colored iridescent interference fringes. Background of blurred green lily pads. Ultra slow-motion macro side shot."
