id,prompt
1,第一人称VR奇幻角色扮演游戏画面，玩家手持发光的蓝色法杖穿过黑暗的地下城走廊。法杖光芒照亮潮湿的石壁和地面的骷髅残骸。前方拐角处传来怪物的低吼声，玩家转头查看左侧墙壁上的火把闪烁。头部视角微微晃动模拟行走节奏。虚幻引擎5写实风格。
2,VR开放世界奇幻游戏，玩家骑在巨型红龙背上俯瞰下方的中世纪城堡和燃烧的村庄。龙翼在视野两侧上下拍动，玩家低头能看到自己的铠甲手套抓紧龙鳞。热浪从龙口喷出的火焰中升腾扭曲视野。头部随龙身倾斜而倾斜。3A级写实渲染画面。
3,第一人称VR地牢探索游戏，玩家推开沉重的铁门进入宝藏室。金币和宝石堆满整个房间在火把光下闪烁。玩家伸出右手拾起一把镶嵌红宝石的匕首仔细端详旋转。突然身后传来脚步声玩家迅速转头一百八十度面对黑暗的入口。写实PBR材质渲染。
4,VR奇幻冒险游戏画面，玩家站在悬浮岛屿边缘俯瞰下方云海中的其他浮空岛。远处一座巨大的水晶塔发出紫色光柱直射天际。玩家转头环顾四周看到彩虹桥连接各个岛屿。一只凤凰从云层中飞出掠过玩家头顶。视角略微仰起追踪凤凰飞行。风格化卡通渲染。
5,第一人称VR黑暗灵魂类游戏，玩家举起布满裂纹的盾牌格挡巨型石像鬼的重击。撞击瞬间盾牌震动视野剧烈摇晃火花飞溅。玩家侧身翻滚视角快速旋转，回身挥出大剑砍向怪物腿部。血雾和碎石飞溅。头部视角随战斗动作剧烈晃动。写实黑暗哥特风格。
6,VR精灵射箭游戏，玩家左手握弓右手从背后箭袋中抽出一支光箭搭在弓弦上。拉满弓弦时箭尖发出金色光芒照亮前方的兽人军队。释放箭矢后视线追踪箭的飞行轨迹命中远处的兽人首领。玩家迅速转头观察右翼冲来的敌人。风格化写实奇幻渲染。
7,第一人称VR炼金术游戏，玩家站在中世纪炼金工坊中。双手将发光的药草投入冒着绿色蒸汽的坩埚中搅拌。液体变色从绿转为金色冒出火花。玩家抬头看配方书架又低头检查坩埚温度。瓶瓶罐罐摆满木桌各种颜色的液体在玻璃瓶中流动。温暖的烛光氛围。
8,VR开放世界RPG游戏，暴风雨中玩家在泥泞的山路上骑马疾驰。雨滴打在视野前方的头盔面甲上模糊视线。闪电照亮远处的城堡轮廓。马蹄溅起泥水玩家身体随马匹颠簸上下起伏。转头看到身后追兵的火把在雨幕中摇晃。头部视角剧烈晃动。写实中世纪风格。
9,第一人称VR水下探索奇幻游戏，玩家穿着魔法潜水装在海底遗迹中游动。手持魔法灯照亮被珊瑚覆盖的古代神殿石柱。一只巨大的海蛇从柱后探出头玩家本能地后仰视角急速抬起。气泡从视野边缘升起。远处海底裂缝中射出蓝色魔法光芒。风格化水彩渲染。
10,VR巫师对决游戏，玩家双手张开各形成一个魔法阵。左手释放冰锥术右手释放火球术交替攻击前方的黑暗法师。敌人释放的紫色闪电擦过玩家右侧视角急速偏转闪避。魔法碰撞产生的冲击波震动画面边缘。玩家快速转身对付背后偷袭的骷髅兵。魔幻粒子特效浓烈。
11,第一人称VR赛博朋克游戏，玩家走出公寓进入霓虹闪烁的未来城市街道。巨型全息广告在头顶投射旋转的商品模型。玩家左右转头浏览两侧的小吃摊和改造人诊所。一辆飞行汽车从头顶低空掠过引起玩家仰头追视。地面积水反射霓虹灯光。虚幻引擎写实赛博风格。
12,VR科幻太空站游戏，玩家漂浮在零重力的空间站走廊中用手抓握把手推动身体前进。转头看到窗外蓝色地球缓缓旋转。警报灯突然闪烁红光走廊尽头一扇气密门正在漏气。玩家加速推进身体旋转视角随之翻转。头部运动模拟零重力飘浮的不稳定感。硬科幻写实。
13,第一人称VR机甲驾驶游戏，玩家坐在巨型机甲驾驶舱内。仪表盘上全息显示器闪烁各种数据。透过座舱玻璃看到被毁的城市废墟中另一台敌方机甲正在逼近。玩家低头拉动操纵杆机甲举起右臂粒子炮瞄准目标。开火瞬间座舱剧烈震动视野晃动。科幻写实机甲风格。
14,VR赛博朋克潜入游戏，玩家蹲在黑暗的通风管道中缓慢爬行。红外视觉模式将环境渲染为蓝绿色调。透过通风口栅格向下看到巡逻的武装警卫。玩家转头检查后方确认无人跟踪。缓缓打开栅格板悄无声息地跳下落在货箱后方。视角随蹲伏动作下沉。暗色调高科技。
15,第一人称VR太空战斗机驾驶游戏，玩家驾驶战斗机穿越小行星带。巨大的岩石从座舱两侧高速掠过。玩家转头追踪锁定一架敌机按下射击键激光束击中目标爆炸成火球。碎片飞向座舱玻璃弹开。仪表盘上弹药计数递减。头部随战斗机翻滚而旋转。硬科幻写实。
16,VR外星球探索游戏，玩家穿着太空服踏上紫色植被覆盖的外星球表面。双月悬挂在绿色天空中。玩家蹲下用手套触摸地面的发光菌类植物引起连锁荧光反应。转头看到远处一只六腿外星生物正在观察自己。玩家缓缓站起保持警觉。科幻写实外星生态风格。
17,第一人称VR黑客入侵游戏，玩家戴着AR眼镜在数据流中穿行。周围是流动的绿色代码矩阵和旋转的防火墙结构。玩家伸手触碰一个数据节点将其解锁释放出金色数据流。防火墙检测到入侵红色ICE程序从四面八方涌来。视角快速转动寻找逃逸通道。赛博空间风格。
18,VR僵尸末日生存游戏，玩家在废弃的超市货架间蹲伏移动。手持手电筒照亮前方黑暗的过道。货架倒塌声传来玩家猛转头看到三只僵尸从右侧通道涌出。举起散弹枪近距离射击第一只僵尸头部爆裂。后坐力使视角微微上扬。急速转身寻找出口。写实恐怖风格。
