id,prompt,center_list,radius_list
1,"A golden retriever sprints across a sun-drenched meadow, ears pinned back and tongue trailing, the tall grass blurring past on either side.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.25,0.25,0.25,0.25]"
2,"A cheetah breaks into a full sprint across a dry savanna, dust kicking up behind each stride, the acacia scrub dissolving into streaks on both sides.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.28,0.28,0.28,0.28]"
3,"A red fox trots steadily through a snow-covered pine forest, its breath misting in the cold air, bare trunks sliding past against a soft white background.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.3,0.3,0.3]"
4,"A barn swallow skims inches above a calm river surface, its wingtips almost grazing the water, reeds and willows rushing past on the bank.","[(-0.3,-0.1),(-0.1,-0.1),(0.1,-0.1),(0.3,-0.1)]","[0.22,0.22,0.22,0.22]"
5,"A snow leopard bounds across a rocky alpine ridge, each leap covering metres of exposed stone, the mountain panorama shifting behind it.","[(-0.3,0.0),(-0.1,0.1),(0.1,0.0),(0.3,0.1)]","[0.27,0.27,0.27,0.27]"
6,"A greyhound launches from a starting trap and extends into a full coursing stride on a straight track, the railing and advertising boards blurring to either side.","[(-0.3,0.0),(-0.1,0.0),(0.1,0.0),(0.3,0.0)]","[0.23,0.23,0.23,0.23]"
7,"A kingfisher arrows across a chalk stream just above the surface, its iridescent plumage flashing, the watercress beds and bank reeds streaming behind it.","[(-0.3,-0.1),(0.0,-0.1),(0.3,-0.1)]","[0.2,0.2,0.2]"
8,"A wolf trots purposefully through a twilight boreal forest, its grey coat catching the last blue light, tree trunks strobing past on either side.","[(-0.2,0.0),(0.0,0.0),(0.2,0.0)]","[0.3,0.3,0.3]"
9,"A falcon in a low hunting stoop skims a hillside at speed, the heather and bracken rushing past in a blur of purple and brown beneath its outstretched wings.","[(-0.2,-0.2),(0.0,-0.1),(0.2,0.0),(0.3,0.1)]","[0.22,0.22,0.22,0.22]"
10,"A school of dolphins rides the bow wave of a tall ship, leaping and slipping through the foam, the dark hull and open sea horizon flanking them.","[(-0.2,0.1),(0.0,0.0),(0.2,0.1),(0.3,0.0)]","[0.3,0.3,0.3,0.3]"
