id,prompt
1,工业机械臂末端鱼眼摄像头视角，汽车总装车间焊接工位。机械臂正在将焊枪对准白色车身侧围板的焊点位置。焊接瞬间橙色火花四溅照亮周围钢板表面。视野中可见机械臂第六轴法兰盘边缘和橙色线缆。背景是模糊的产线和其他正在工作的机械臂。传感器受焊光干扰局部过曝。
2,六轴工业机器人腕部广角摄像头画面，汽车喷涂车间。机械臂正在对红色轿车引擎盖进行清漆喷涂。喷枪喷出的雾化漆料在灯光下形成扇形半透明雾幕。车身表面刚喷完的湿漆反射出车间白色灯管。视野下方可见机械臂末端的喷涂执行器和管路。画面带有喷漆雾气的朦胧感。
3,焊接机器人末端传感器视角，汽车底盘点焊作业。视野正中是焊钳夹紧两层钢板的瞬间。铜电极头在压力下微微变形。周围可见已完成的焊点排列整齐如铆钉。车身底板的冲压纹理和定位孔清晰可见。背景中另一台机器人正在同一工件的另一侧作业。工业冷白色LED照明。
4,机械臂腕部摄像头广角画面，汽车总装线挡风玻璃安装工位。真空吸盘末端执行器正在吸取一块完整的前挡风玻璃。玻璃表面反射出车间天花板的灯光和管道。机械臂将玻璃精确对准白色车身的窗框开口。涂胶机器人刚在窗框上涂抹的黑色密封胶条清晰可见。精密对位画面。
5,涂胶机器人末端传感器画面，汽车车门密封胶涂布作业。视野中喷胶嘴正在沿车门边缘轨迹匀速涂布黑色PVC密封胶。胶条宽度均匀截面呈三角形。已涂布的胶条在视野后方延伸形成完整的密封轨迹。金属车门板表面的冲压油膜在照明下微微反光。近距离工业微距画质。
6,搬运机器人肩部广角摄像头画面，汽车冲压车间。巨大的六轴机器人正在将刚冲压成型的车身侧围板从千吨级压力机中取出。钢板还带有冲压模具的温度表面微微冒出热气。机器人吸盘阵列牢牢吸住大型钢板。远处压力机的巨大飞轮正在减速。画面带有工业振动的微弱模糊。
7,机械臂末端结构光传感器视角，汽车焊装车间在线检测。投射的蓝色激光线扫描车身焊缝表面。结构光在焊缝凸起处发生弯折清晰显示焊缝轮廓。视野中可见蓝色激光条纹映在灰色钢板上。远处同工位的另一检测传感器正在扫描车顶接缝。蓝色激光在画面中形成明亮条纹。
8,装配机器人腕部鱼眼摄像头，汽车发动机缸盖螺栓拧紧作业。视野正中是电动拧紧枪对准铝合金缸盖上的螺栓孔。枪头旋转高速拧入螺栓。缸盖的铸造纹理和加工面在近距离清晰可见。冷却液管路和线束在发动机舱内密集排列。工业照明从多角度打消阴影。广角畸变明显。
9,点焊机器人末端视觉传感器，汽车白车身多层板焊接。视野中两个铜色焊接电极从上下夹紧三层钢板。焊接通电瞬间电极间飞溅出细小火花。焊点周围的镀锌层因高温变色呈金黄色环。视野边缘可见机器人第五轴关节的灰色铸铝外壳。画面因焊接闪光瞬间过曝后恢复正常。
10,搬运码垛机器人肩部摄像头，汽车零部件物流区。机器人正在将塑料周转箱从传送带上抓取码放到托盘上。气动夹爪张开合拢抓住箱子边缘。视野中可见已码好的三层箱子整齐排列。远处AGV小车沿地面磁条导航线自动行驶运送物料。物流仓库高大的货架在背景中延伸。
11,涂装机器人腕部传感器画面，汽车保险杠喷涂。黑色塑料保险杠固定在旋转夹具上。机器人喷枪正在喷涂金属银色底漆。雾化漆料颗粒在气流中形成均匀的扇面。已喷涂区域呈现湿润的银色金属光泽与未喷涂的黑色塑料形成对比。排风系统持续工作漆雾向下方抽离。
12,机械臂末端视觉引导摄像头，汽车线束插接作业。机器人末端的精密夹爪夹持着白色电气插头对准仪表板后方的插座。插座周围密集的彩色线束束扎整齐。视觉系统叠加的绿色对准十字线在画面中清晰可见。插入到位后锁扣发出轻微咔哒声。近距离微距画面景深很浅。
13,去毛刺机器人末端传感器画面，铝合金轮毂加工后处理。高速旋转的毛刷正在轮毂辐条边缘去除加工毛刺。铝屑碎片从接触点飞溅如银色粉末。轮毂表面的机加工刀纹在侧光下清晰可见。冷却液从喷嘴喷出冲洗加工面。视野下方可见机械臂法兰和力矩传感器外壳。
14,密封检测机器人传感器画面，汽车车门水密性测试工位。机器人持喷水枪沿车门周边按程序喷射高压水柱。水柱打在车门密封条上飞溅出水雾。车门玻璃上的水流在灯光下反射出条纹。视野边缘可见旁边工位的红外热像仪在检测焊缝质量。水雾使画面整体带有湿润朦胧感。
15,装配机器人末端鱼眼视觉，汽车座椅安装工位。机械臂夹持着深灰色皮革座椅对准车身底板上的四个安装螺栓孔。座椅金属支架和滑轨在视野下方可见。车内内饰已基本安装完毕仪表板和方向盘在视野远处。另一台机器人在副驾侧同步安装座椅。鱼眼广角畸变使车内空间弯曲。
16,贴片机械臂末端高倍微距摄像头画面，SMT贴片生产线。真空吸嘴正在从料盘中吸取一颗零点四毫米的微型电阻。元器件在吸嘴尖端几乎不可见。PCB电路板的绿色阻焊层和银色焊盘在下方等待。视觉系统识别出的元器件轮廓叠加在画面中。极浅景深只有吸嘴尖端清晰。
17,SCARA机器人末端摄像头画面，电子产品组装线。机械臂正在将柔性排线插入手机主板的ZIF连接器。精密夹爪夹持着金色触点的FPC排线对准白色翻盖连接器插口。PCB板上密密麻麻的芯片和电容在背景中。ESD防静电手环的黄色接地线从机械臂上垂下。极近微距画质。
18,晶圆搬运机械臂传感器画面，半导体洁净室。机器人末端的真空叉从FOUP晶圆盒中取出一片三百毫米硅晶圆。晶圆表面反射出洁净室天花板的黄色滤光灯形成彩虹般的干涉色。周围环境是万级洁净室白色墙壁和HEPA过滤单元。操作者穿着白色无尘服在远处监控。
19,AOI光学检测机械臂摄像头画面，PCB板自动光学检查。高分辨率工业摄像头正在扫描电路板表面。视野中焊点的锡球形态清晰可见有些呈完美球形有些存在桥接缺陷。红色LED环形光源从多角度照亮焊点表面。检测算法标记的红色方框在疑似缺陷处闪烁。高倍微距画面。
20,点胶机器人末端摄像头画面，手机摄像头模组封装。精密点胶针头在微型CMOS传感器周围涂布黑色UV固化胶。胶水量精确控制在微升级别形成均匀的密封圈。传感器表面的微透镜阵列在光线下呈现彩虹色。视野中注射器针头直径不到零点三毫米。超微距画面景深极浅。
21,焊接机械臂末端传感器画面，电路板选择性波峰焊。机器人将PCB板精确浸入锡槽中只让需要焊接的通孔元件接触锡波。金色液态锡在四百度下闪烁熔融光泽。焊接完成后PCB被提起底部焊点排列整齐闪亮。锡渣和助焊剂烟气在画面中形成淡薄的雾气。工业热成像质感。
22,机械臂末端视觉引导画面，LED芯片分选。高速SCARA臂用真空吸嘴逐颗拾取蓝宝石基板上的微型LED芯片放入分选盘。芯片尺寸不到一毫米在视觉系统中如同小光点。分选盘上已有数百颗按亮度等级分类的芯片排列成行。动作极快画面中吸嘴来回移动形成运动模糊。
23,协作机器人腕部摄像头画面，服务器机柜组装。机器人正在将硬盘托架插入机柜的硬盘插槽。金属导轨对准后推入到位锁扣弹片咔哒锁定。机柜内部密集排列的硬盘指示灯绿色闪烁。线缆管理臂上束扎整齐的网线和电源线在背景中。冷通道的蓝色LED照明提供冷色调环境光。
24,精密装配机器人传感器画面，手表机芯组装。六轴微型机器人用微型镊子夹取一个直径两毫米的红宝石轴承放入机芯底板的轴孔。机芯的黄铜齿轮和蓝钢螺丝在微距下如微型机械城市。发条盒的螺旋弹簧边缘清晰可见。无尘工作台的白色表面作为背景。超高倍微距成像。
25,线缆加工机器人末端摄像头画面，汽车线束生产。机器人从导线架上拉出指定颜色的电线裁切到精确长度。剥线刀头剥去线头绝缘层露出铜芯。然后将铜芯插入端子压接模具中液压压接。压接后的端子在视野中呈现完美的喇叭口形状。多色电线在背景中如彩虹般排列。
26,锡膏印刷机械臂传感器画面，SMT生产线钢网印刷工位。刮刀正在将银灰色锡膏通过钢网开孔印刷到PCB焊盘上。钢网的精密蚀刻开孔与下方焊盘图案完美对齐。锡膏在刮刀推动下流动如微型犁地。印刷完成后提起钢网可见焊盘上整齐的锡膏图案。工业微距俯拍画面。
27,芯片键合机械臂传感器画面，半导体后道封装。金线键合头在芯片焊盘与引线框架之间高速拉出二十五微米直径的金丝。金丝在空气中形成精确的弧形回路。芯片表面的电路图案在高倍放大下如城市鸟瞰图。键合点的金球直径约八十微米闪烁金色光泽。超高放大倍率成像。
28,测试机器人末端探针画面，晶圆级芯片测试。探针卡上数百根细如头发的测试探针同时压在晶圆上的一个芯片焊盘上。探针尖端与焊盘的接触痕迹在高倍镜下可见。晶圆表面的重复芯片图案如棋盘格延伸。探针台的精密XY平台在下方缓慢步进移动到下一个芯片位置。
29,返修机器人末端传感器画面，BGA芯片返修工位。红外加热头正在对一颗BGA封装芯片底部的焊球进行回流。热成像叠加显示芯片温度从室温逐渐升至二百四十度。焊球开始熔化芯片微微下沉。真空吸嘴在正确时机吸起芯片露出PCB焊盘上的熔融焊球阵列。热辐射干扰画面。
30,光纤连接器装配机器人传感器画面，通信设备生产线。机器人末端精密夹爪正在将直径一百二十五微米的光纤芯插入陶瓷套管中。光纤端面在显微镜下可见纤芯和包层的同心圆结构。UV固化胶注入后紫外灯照射三秒固化。光纤跳线的蓝色外皮在视野边缘。极高放大倍率。
31,食品分拣机器人末端摄像头画面，水果包装线。视觉识别系统正在评估传送带上快速移动的红苹果。机械臂气动吸盘从传送带上吸取一颗表面有轻微碰伤的苹果放入次品通道。带上其余苹果继续前进大小颜色各异。水雾喷淋系统使画面带有细微水珠。冷白色LED食品级照明。
32,码垛机器人肩部摄像头画面，啤酒灌装车间末端。机器人正在将整层二十四瓶装啤酒纸箱从传送带抓取码放到木托盘上。夹抱式末端执行器从两侧夹紧一整层纸箱。已码好的四层箱子整齐如积木。传送带上新的纸箱不断到来。远处灌装线的不锈钢设备反射荧光灯。
33,切割机器人末端传感器画面，肉类加工车间。超声波刀片正在将冷冻猪肉分割成精确的部位块。刀片在冻肉表面切割时几乎无阻力切面光滑如镜。肉的脂肪层白色纹理和红色肌肉组织在切面上形成大理石纹。不锈钢工作台面上有少量血水。低温车间环境镜头边缘轻微起雾。
34,注塑取件机器人末端摄像头画面，食品容器生产线。机械臂伸入刚开模的注塑机中取出还带余温的透明塑料杯。模具分型线在杯口边缘留下细微飞边。杯体还微微柔软机械手指轻握以防变形。注塑机的巨大合模装置和粗壮的拉杆在视野两侧。塑料高温释放的气体使画面略带雾气。
35,机械臂末端摄像头画面，巧克力生产线浇注工位。机器人控制的浇注头向硅胶模具中精确灌注深棕色液态巧克力。巧克力浆在模具腔中流动形成均匀的填充。表面微微冒出气泡。传送带上数十个模具排列前进等待冷却固化。车间温度控制严格空气中弥漫甜香。暖色照明。
36,分拣机器人末端传感器画面，海鲜加工线虾类分级。视觉系统实时识别传送带上的鲜虾按大小自动分拣。机器人气动夹爪快速拾取一只大号对虾放入特定通道。虾壳表面的半透明质感和触须在近距离清晰可见。冰水混合物在传送带上流动保持鲜度。不锈钢环境冷色调画面。
37,披萨制作机器人末端摄像头画面，快餐连锁中央厨房。机械臂将定量的番茄酱挤在面饼中央然后用末端的硅胶刮板按螺旋轨迹均匀涂抹。红色酱料在白色面饼上形成均匀覆盖。接下来撒料臂投放芝士碎和配料。传送带将成品送入隧道式烤箱。食品级白色环境照明。
38,瓶装线机器人末端摄像头画面，酱油灌装车间。机器人将灌装完毕的深色酱油瓶从灌装头下方取出放到传送带上。瓶口液面还在轻微晃动。旋盖头从上方下降拧紧红色瓶盖。瓶身标签在传送过程中经过贴标机被精确粘贴。不锈钢管路和卫生级连接件在背景中反射光线。
39,面包生产线机器人传感器画面，自动切片工位。机器人将冷却后的长条形吐司面包送入高速往复式切片机。刀片以每秒数十次的速度将面包切成均匀的片状。面包屑在切割点飞溅如褐色粉尘。切好的面包片整齐排列如多米诺骨牌。传送带上的面包散发淡黄色的温暖色调。
40,乳制品生产线机器人摄像头画面，酸奶灌装封口工位。机器人末端的热封头正在将铝箔盖片压封在塑料酸奶杯口。热封瞬间边缘的塑料微微熔化与铝箔粘合。封口完成后杯面光滑平整印刷文字清晰。传送带上数十杯白色酸奶杯排列整齐如棋阵。洁净食品车间冷白色调。
41,茶叶包装机器人末端传感器画面，茶叶分装线。机器人称量斗将精确克重的绿色茶叶倒入铝箔袋中。茶叶在倒入过程中散落翻滚。视野中可见干茶叶的卷曲形态和深绿色泽。封口机将袋口热封密封。远处茶叶烘焙房飘出的淡淡香气使空气中悬浮微粒在光线中可见。
42,蛋糕装饰机器人末端摄像头画面，烘焙中央工厂。机器人控制的裱花嘴在白色奶油蛋糕顶部精确挤出玫瑰花型奶油花。粉色奶油从不锈钢花嘴中螺旋挤出层层叠叠。蛋糕转台缓慢旋转配合机器人的挤出轨迹。已完成的奶油花排列成环形图案。食品安全级暖色照明环境。
43,弧焊机器人末端传感器画面，钢结构件MAG焊接。焊丝末端形成的电弧在视野中央发出刺目的白色强光。熔池在焊缝中流动凝固后形成银色的鱼鳞纹焊道。飞溅的焊渣颗粒如流星从电弧向四周飞射。焊枪喷嘴周围积累了铜色飞溅物。画面中央严重过曝边缘正常。
44,激光切割机器人末端传感器画面，钢板激光切割作业。聚焦的激光束在十毫米厚的碳钢板上切出直线轨迹。切割缝隙中涌出橙红色的熔融金属被辅助气体吹出。切割面光滑如镜没有毛刺。烟尘从切割点升起被排烟系统吸走。钢板表面的铁锈和氧化皮在激光前方可见。
45,等离子切割机器人末端摄像头画面，厚板下料作业。等离子弧从割嘴喷出形成蓝白色的高温射流穿透二十五毫米厚钢板。熔融金属从板底喷出形成明亮的金属瀑布。切割缝两侧钢板因高温变为蓝紫色的回火色。浓烟从切割区域升腾。传感器受等离子光干扰画面严重过曝。
46,打磨机器人末端传感器画面，铸件表面打磨。高速旋转的砂轮贴合在铸铁表面打磨分型线飞边。铁屑和砂轮碎屑如橙色火花瀑布从接触点飞出。铸件表面从粗糙的铸造纹理逐渐变为光滑的金属本色。砂轮在使用中逐渐磨损直径变小。振动传导至传感器画面轻微模糊。
47,折弯机器人末端摄像头画面，钢板折弯送料作业。机器人夹持钢板精确送入液压折弯机的V型模口。上模缓缓下压将钢板弯折成精确角度。折弯处金属发出轻微的嘎嘎声。钢板表面的保护膜在折弯处被拉伸变白。折弯机的巨大油缸和压板在视野上方。工业照明均匀无阴影。
48,TIG焊接机器人末端传感器画面，不锈钢管道精密焊接。钨极发出稳定的蓝紫色电弧在管道对接口处形成明亮的熔池。焊丝从侧面送入熔池中。氩气保护罩内焊缝表面呈现完美的金色和蓝色氧化色。管道内壁的焊缝反面成型均匀。洁净的不锈钢表面反射出精密的金属光泽。
