id,prompt
1,自动驾驶车载前视摄像头画面，雨夜的上海浦东陆家嘴高架桥上缓慢行驶。雨刮器在画面底部周期性划过留下水痕。前方一辆红色公交车刹车灯亮起溅起水花。路面积水反射两侧摩天大楼的霓虹灯光形成模糊彩色条纹。道路标线在湿滑路面上反光。原始传感器直出画质带有镜头水滴。
2,行车记录仪实拍画面，清晨大雾中的北京四环路。能见度不足五十米前方车辆尾灯在雾中化为模糊红色光晕。一辆环卫洒水车突然从右侧车道并入本车道水雾喷洒在挡风玻璃上瞬间遮挡视野。道路两侧的隔离墩在雾中若隐若现。画面带有行车记录仪的鱼眼畸变和时间水印。
3,自动驾驶感知摄像头视角，正午烈日下的迪拜谢赫扎耶德大道。前方路面热浪升腾产生海市蜃楼效果远处车辆像在水面上漂浮。一只骆驼突然从沙漠一侧闯入道路右侧车道急刹。路面白色反光刺眼曝光略过。两侧棕榈树投下锐利阴影。画面带有强烈阳光眩光和传感器过曝区域。
4,车载摄像头夜间画面，东京首都高速C1环线弯道连续过弯。前方一辆白色GT-R尾灯在弯道中划出红色弧线。道路两侧水泥护栏上的反光标贴高速掠过。弯道倾斜路面使画面微微倾斜。远处东京塔红色灯光在建筑间一闪而过。夜间画质带有明显噪点和运动模糊。
5,行车记录仪暴雨实拍，广州内环路突遇暴雨。雨量极大雨刮器最高速仍无法完全清除挡风玻璃上的水帘。前方一辆外卖电动车在积水中打滑摇晃差点倒下。路面积水深度已经没过轮毂溅起巨大水花。交通信号灯在雨帘后方模糊成红绿色光团。原始画质水滴附着镜头。
6,自动驾驶前视摄像头，旧金山陡坡街道下坡行驶。画面呈现极度倾斜的视角前方道路像悬崖般陡峭。一辆缆车从右侧交叉路口缓缓通过。路边停放的车辆都打着方向盘斜停在坡道上。远处可见海湾大桥和雾气笼罩的天使岛。鱼眼镜头边缘畸变明显。阴天平淡光线。
7,车载行车记录仪画面，深夜的莫斯科环城公路。路面薄冰反光前方一辆大货车突然变道本车紧急制动ABS触发。货车甩出的泥雪冰碴打在挡风玻璃上短暂遮挡视野。路灯昏黄色调照亮积雪的路肩。远处MKAD公路标志牌在车灯照射下反光。低温导致画面色彩偏冷噪点明显。
8,自动驾驶摄像头日间画面，孟买交通高峰期的老城区窄路。一头花牛悠闲地横卧在道路中央挡住两个车道纹丝不动。三轮突突车和摩托车从牛身两侧见缝插针地穿过。路边小贩的手推车挤占道路空间。行人在车流中穿梭自如。画面拥挤混乱充满印度街头的生动感。
9,行车记录仪黄昏画面，洛杉矶405高速公路严重拥堵。前车红色尾灯形成无尽的红色光带延伸至地平线。夕阳正对镜头产生强烈眩光和光晕。右侧车道一辆特斯拉开启转向灯试图加塞。远处好莱坞山丘在橙色天空中呈现剪影。长时间静止画面偶尔前移数米。
10,车载摄像头雪夜画面，哈尔滨中央大街附近行驶。大雪纷飞雪花在车灯照射下如密集的白色弹幕飞向镜头。前方一辆出租车在冰面上缓慢打滑车尾微微甩出。道路两侧的欧式建筑覆盖厚雪窗户透出暖黄灯光。行人全副武装弯腰顶风前行。画面雪花附着镜头逐渐积累。
